time	from	to
2019-07-02T00:00:00	172	194	
2019-07-02T00:00:00	180	223	
2019-07-02T00:00:00	181	152	
2019-07-02T00:00:00	183	168	
2019-07-02T00:00:00	186	171	
2019-07-02T00:00:00	186	203	
2019-07-02T00:00:00	188	71	
2019-07-02T00:00:00	189	142	
2019-07-02T00:00:00	192	163	
2019-07-02T00:00:00	192	194	
2019-07-02T00:00:00	194	192	
2019-07-02T00:00:00	194	163	
2019-07-02T00:00:00	194	172	
2019-07-02T00:00:00	196	41	
2019-07-02T00:00:00	197	67	
2019-07-02T00:00:00	199	218	
2019-07-02T00:00:00	200	119	
2019-07-02T00:00:00	201	170	
2019-07-02T00:00:00	203	186	
2019-07-02T00:00:00	203	249	
2019-07-02T00:00:00	206	244	
2019-07-02T00:00:00	206	225	
2019-07-02T00:00:00	209	232	
2019-07-02T00:00:00	213	53	
2019-07-02T00:00:00	218	199	
2019-07-02T00:00:00	221	43	
2019-07-02T00:00:00	223	180	
2019-07-02T00:00:00	224	241	
2019-07-02T00:00:00	224	30	
2019-07-02T00:00:00	225	247	
2019-07-02T00:00:00	225	206	
2019-07-02T00:00:00	226	132	
2019-07-02T00:00:00	232	209	
2019-07-02T00:00:00	235	249	
2019-07-02T00:00:00	241	224	
2019-07-02T00:00:00	244	206	
2019-07-02T00:00:00	247	225	
2019-07-02T00:00:00	249	235	
2019-07-02T00:00:00	249	203	
2019-07-03T00:00:00	0	160	
2019-07-03T00:00:00	1	14	
2019-07-03T00:00:00	1	33	
2019-07-03T00:00:00	2	45	
2019-07-03T00:00:00	2	122	
2019-07-03T00:00:00	2	133	
2019-07-03T00:00:00	2	137	
2019-07-03T00:00:00	3	24	
2019-07-03T00:00:00	3	11	
2019-07-03T00:00:00	6	35	
2019-07-03T00:00:00	7	20	
2019-07-03T00:00:00	8	39	
2019-07-03T00:00:00	8	114	
2019-07-03T00:00:00	9	58	
2019-07-03T00:00:00	9	64	
2019-07-03T00:00:00	9	19	
2019-07-03T00:00:00	10	20	
2019-07-03T00:00:00	11	24	
2019-07-03T00:00:00	11	3	
2019-07-03T00:00:00	13	25	
2019-07-03T00:00:00	14	33	
2019-07-03T00:00:00	14	1	
2019-07-03T00:00:00	19	77	
2019-07-03T00:00:00	19	9	
2019-07-03T00:00:00	19	58	
2019-07-03T00:00:00	19	48	
2019-07-03T00:00:00	19	53	
2019-07-03T00:00:00	20	7	
2019-07-03T00:00:00	20	10	
2019-07-03T00:00:00	24	3	
2019-07-03T00:00:00	24	11	
2019-07-03T00:00:00	25	13	
2019-07-03T00:00:00	26	172	
2019-07-03T00:00:00	28	31	
2019-07-03T00:00:00	28	29	
2019-07-03T00:00:00	29	31	
2019-07-03T00:00:00	29	28	
2019-07-03T00:00:00	29	120	
2019-07-03T00:00:00	30	224	
2019-07-03T00:00:00	31	186	
2019-07-03T00:00:00	31	28	
2019-07-03T00:00:00	31	29	
2019-07-03T00:00:00	32	97	
2019-07-03T00:00:00	33	14	
2019-07-03T00:00:00	33	1	
2019-07-03T00:00:00	35	6	
2019-07-03T00:00:00	36	99	
2019-07-03T00:00:00	38	159	
2019-07-03T00:00:00	39	73	
2019-07-03T00:00:00	39	74	
